codigo,nombre,descripcion,aduana_codigo,vigencia
IQQ,IQUIQUE,IQUIQUE,7,S
AHO,ALTO HOSPOCIO,ALTO HOSPOCIO,7,S
ARI,ARICA,ARICA,3,S
