codigo,nombre,descripcion,vigencia
715,PORT-ELIZABETH,PORT-ELIZABETH,S
716,MOSSEL-BAY,MOSSEL-BAY,S
717,EAST-LONDON,EAST-LONDON,S
799,OTROS PUERTOS DE ÁFRICA NO ESPECIFICADOS,OTROS PUERTOS DE ÁFRICA NO ESPECIFICADOS,S
811,SIDNEY,SIDNEY,S
812,FREMANTLE,FREMANTLE,S
813,OTROS PUERTOS DE AUSTRALIA NO ESPECIFICADOS,OTROS PUERTOS DE AUSTRALIA NO ESPECIFICADOS,S
814,ADELAIDA,ADELAIDA,S
815,DARWIN,DARWIN,S
816,GERALDTON,GERALDTON,S
899,OTROS PUERTOS DE OCEANÍA NO ESPECIFICADOS,OTROS PUERTOS DE OCEANÍA NO ESPECIFICADOS,S
900,RANCHO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,RANCHO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,S
901,ARICA,ARICA,S
902,IQUIQUE,IQUIQUE,S
903,ANTOFAGASTA,ANTOFAGASTA,S
904,COQUIMBO,COQUIMBO,S
905,VALPARAÍSO,VALPARAÍSO,S
906,SAN ANTONIO,SAN ANTONIO,S
907,TALCAHUANO,TALCAHUANO,S
908,SAN VICENTE,SAN VICENTE,S
909,LIRQUEN,LIRQUEN,S
910,PUERTO MONTT,PUERTO MONTT,S
911,CHACABUCO / PUERTO AYSEN,CHACABUCO / PUERTO AYSEN,S
912,PUNTA ARENAS,PUNTA ARENAS,S
913,PATILLOS,PATILLOS,S
914,TOCOPILLA,TOCOPILLA,S
915,MEJILLONES,MEJILLONES,S
916,TALTAL,TALTAL,S
917,CHAÑARAL / BARQUITO,CHAÑARAL / BARQUITO,S
918,CALDERA,CALDERA,S
919,CALDERILLA,CALDERILLA,S
920,HUASCO / GUACOLDA,HUASCO / GUACOLDA,S
921,QUINTERO,QUINTERO,S
922,JUAN FERNANDEZ,JUAN FERNANDEZ,S
923,CONSTITUCION,CONSTITUCION,S
924,TOME,TOME,S
925,PENCO,PENCO,S
926,CORONEL,CORONEL,S
927,LOTA,LOTA,S
928,LEBU,LEBU,S
929,ISLA DE PASCUA,ISLA DE PASCUA,S
930,CORRAL,CORRAL,S
931,ANCUD,ANCUD,S
932,CASTRO,CASTRO,S
933,QUELLÓN,QUELLÓN,S
934,CHAITÉN,CHAITÉN,S
935,TORTEL,TORTEL,S
936,NATALES,NATALES,S
937,GUARELLO,GUARELLO,S
938,CUTTERCOVE,CUTTERCOVE,S
939,PERCY,PERCY,S
940,CLARENCIA,CLARENCIA,S
941,GREGORIO,GREGORIO,S
942,CABO NEGRO,CABO NEGRO,S
943,PUERTO WILLIAMS,PUERTO WILLIAMS,S
944,TERRITORIO ANTÁRTICO CHILENO,TERRITORIO ANTÁRTICO CHILENO,S
945,SALINAS,SALINAS,S
946,GUAYACAN,GUAYACAN,S
947,PUNTA DELGADA,PUNTA DELGADA,S
948,VENTANAS,VENTANAS,S
949,PINO HACHADO(LIUCURA,PINO HACHADO(LIUCURA,S
950,CALETA COLOSO,CALETA COLOSO,S
951,AGUAS NEGRAS,AGUAS NEGRAS,S
952,ZONA FRANCA IQUIQUE,ZONA FRANCA IQUIQUE,S
953,ZONA FRANCA PUNTA ARENAS,ZONA FRANCA PUNTA ARENAS,S
954,RIO MAYER,RIO MAYER,S
955,RIO MOSCO,RIO MOSCO,S
956,VISVIRI,VISVIRI,S
957,CHACALLUTA,CHACALLUTA,S
958,CHUNGARA,CHUNGARA,S
959,COLCHANE,COLCHANE,S
960,ABRA DE NAPA,ABRA DE NAPA,S
961,OLLAGUE,OLLAGUE,S
962,SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,S
963,SOCOMPA,SOCOMPA,S
964,SAN FRANCISCO,SAN FRANCISCO,S
965,LOS LIBERTADORES,LOS LIBERTADORES,S
966,MAHUIL MALAL,MAHUIL MALAL,S
967,CARDENAL SAMORE,CARDENAL SAMORE,S
968,PEREZ ROSALES,PEREZ ROSALES,S
969,FUTALEUFU,FUTALEUFU,S
970,PALENA-CARRENLEUFU,PALENA-CARRENLEUFU,S
971,PANGUIPULLI,PANGUIPULLI,S
972,HUAHUM,HUAHUM,S
973,LAGO VERDE,LAGO VERDE,S
974,APPELEG,APPELEG,S
975,PAMPA ALTA,PAMPA ALTA,S
976,HUEMULES,HUEMULES,S
977,CHILE CHICO,CHILE CHICO,S
978,BAKER,BAKER,S
979,DOROTEA,DOROTEA,S
980,CASAS VIEJAS,CASAS VIEJAS,S
981,MONTE AYMOND,MONTE AYMOND,S
982,SAN SEBASTIAN,SAN SEBASTIAN,S
983,COYHAIQUE ALTO,COYHAIQUE ALTO,S
984,TRIANA,TRIANA,S
985,IBANEZ PALAVICINI,IBANEZ PALAVICINI,S
986,VILLA OHIGGINS,VILLA OHIGGINS,S
987,AEROP.CHACALLUTA,AEROP.CHACALLUTA,S
988,AEROP.DIEGO ARACENA,AEROP.DIEGO ARACENA,S
989,AEROP.CERRO MORENO,AEROP.CERRO MORENO,S
990,AEROP.EL TEPUAL,AEROP.EL TEPUAL,S
991,AEROP.C.I.DEL CAMPO,AEROP.C.I.DEL CAMPO,S
992,AEROP.A.M.BENITEZ,AEROP.A.M.BENITEZ,S
994,ARICA-TACNA,ARICA-TACNA,S
995,ARICA-LA PAZ,ARICA-LA PAZ,S
997,OTROS PUERTOS CHILENOS,OTROS PUERTOS CHILENOS,S
