codigo,nombre,descripcion,vigencia
1,"MARITIMA,FLUVIAL Y L","MARITIMA,FLUVIAL Y L",S
2,FLUVIAL,FLUVIAL,S
3,LACUSTRE,LACUSTRE,S
4,AEREO,AEREO,S
5,POSTAL,POSTAL,S
6,FERROVIARIO,FERROVIARIO,S
7,CARRETERO/TERRESTRE,CARRETERO/TERRESTRE,S
8,"OLEODUCTOS,GASODUCTO","OLEODUCTOS,GASODUCTO",S
9,TENDIDO ELECTRICO,TENDIDO ELECTRICO,S
10,OTRA,OTRA,S
11,DUCTO SUBMARINO,DUCTO SUBMARINO,S
