codigo,nombre,descripcion,lista_de_valor_codigo,vigencia
10054,NOBEL,NOBEL,04,S
10058,PANHARD,PANHARD,04,S
10063,PRINCE,PRINCE,04,S
10068,SACHS,SACHS,04,S
10071,SINGER,SINGER,04,S
10073,STANDARD,STANDARD,04,S
10074,STUDEBAKER,STUDEBAKER,04,S
10076,SUMBEAM,SUMBEAM,04,S
10078,SUSULIGHT,SUSULIGHT,04,S
10081,VALIANT,VALIANT,04,S
10082,MESSERCHMIDT,MESSERCHMIDT,04,S
10083,VAUXHALL,VAUXHALL,04,S
10088,FARGO,FARGO,04,S
10089,FORDSON,FORDSON,04,S
10090,GOLIAT,GOLIAT,04,S
10091,HANOMAG,HANOMAG,04,S
10092,IKA RENAULT,IKA RENAULT,04,S
10093,SIN MARCA,SIN MARCA,04,S
10094,ZADRUGAR,ZADRUGAR,04,S
10095,SABA,SABA,04,S
10096,ROYAL ENFIELD,ROYAL ENFIELD,04,S
10097,FRAMBETA,FRAMBETA,04,S
10098,FORD ANGLIA,FORD ANGLIA,04,S
10099,FORD THAMES,FORD THAMES,04,S
10100,RASTROJERO,RASTROJERO,04,S
10103,DURKOFF DIANA,DURKOFF DIANA,04,S
10105,GILERA,GILERA,04,S
10106,GITAN,GITAN,04,S
10107,GOBI,GOBI,04,S
10108,GORICKE,GORICKE,04,S
10111,HERCULES,HERCULES,04,S
10114,LAMBRETTA,LAMBRETTA,04,S
10115,LAVERDA,LAVERDA,04,S
10116,MIELE,MIELE,04,S
10119,MOTO ISO,MOTO ISO,04,S
10120,MOTOBI,MOTOBI,04,S
10121,MOTOCHI,MOTOCHI,04,S
10122,LOLA,LOLA,04,S
10123,PHANTER,PHANTER,04,S
10124,RABBIT JUNIOR,RABBIT JUNIOR,04,S
10127,YUE LOONG,YUE LOONG,04,S
10128,HECHIZO,HECHIZO,04,S
10129,VILLALTA,VILLALTA,04,S
10130,TOPBKOBCKHN,TOPBKOBCKHN,04,S
10132,JOHN DEERE,JOHN DEERE,04,S
10134,ISEKI,ISEKI,04,S
10135,PASCUALI,PASCUALI,04,S
10136,PEGASO,PEGASO,04,S
10137,DEUTZ-FAHR,DEUTZ-FAHR,04,S
10138,VALMET,VALMET,04,S
10139,MAN,MAN,04,S
10140,HUBER WABCO,HUBER WABCO,04,S
10141,SCANIA,SCANIA,04,S
10143,HENSCHEL,HENSCHEL,04,S
10144,MASSEY FERGUSON,MASSEY FERGUSON,04,S
10145,CIAO,CIAO,04,S
10146,CATERPILLAR,CATERPILLAR,04,S
10147,CASE,CASE,04,S
10148,IDEAL,IDEAL,04,S
10149,CLAYSON,CLAYSON,04,S
10150,RIZZATO,RIZZATO,04,S
10151,BELARUS,BELARUS,04,S
10152,POLONEZ,POLONEZ,04,S
10153,ALLIS CHALMERS,ALLIS CHALMERS,04,S
10154,KOMATSU,KOMATSU,04,S
10155,FREQUES,FREQUES,04,S
