codigo,nombre,descripcion,vigencia
EXT,EXTRANJERO,EXTRANJERO,S
ZFE,ZONA FRANCA DE EXTENSION,ZONA FRANCA DE EXTENSION,S
RDP,RESTO DEL PAIS,RESTO DEL PAIS,S
OZF,OTRA ZONA FRANCA,OTRA ZONA FRANCA,S
ZDE,ZONA DE EXPORTACION,ZONA DE EXPORTACION,S
ZFR,ZONA FRANCA,ZONA FRANCA,S
