codigo,nombre,descripcion,vigencia
01,Tipos de Vehículos,Tipos de Vehículos,S
02,Tipos de Cabina,Tipo de Cabina,S
03,Colores,Colores,S
04,Marcas de Vehículo,Marcas de Vehículo,S
05,Tipos de Encedido,Tipos de Encedido,S
06,Tipos de Tracción,Tipos de Tracción,S
07,Tipos de Combustible,Tipos de Combustible,S
